epoch_ms	gpu_used_mib	gpu_util_pct	host_used_mib
1786980405431	1	0	44690
1786980405750	1	0	44826
1786980406105	1	0	44937
1786980406436	1	0	44915
1786980406734	1	0	44940
1786980407090	1	0	44944
1786980407410	2	0	45062
1786980407780	258	0	45101
1786980408139	258	0	45114
1786980408457	258	0	45112
1786980408812	258	0	45132
1786980409166	258	0	44999
1786980409524	258	0	45062
1786980409840	258	0	45100
1786980410159	258	0	45179
1786980410479	258	0	45176
1786980410796	258	0	45186
1786980411150	258	0	45278
1786980411505	258	0	45340
1786980411845	4316	15	45427
1786980412198	4316	31	45406
1786980412537	4316	29	45529
1786980412855	4316	21	45375
1786980413211	4336	0	45239
1786980413619	4384	0	45358
1786980413937	4384	0	45324
1786980414276	4384	0	45430
1786980414643	4394	0	45693
1786980414977	4500	23	46035
1786980415338	4500	22	45981
1786980415696	4540	31	46049
1786980416050	4540	28	46023
1786980416400	4540	31	46021
1786980416720	4540	27	45974
1786980417039	4540	29	45927
1786980417378	4540	32	46089
1786980417698	4540	30	45990
1786980418017	4540	32	45918
1786980418350	4540	28	45985
1786980418687	4540	29	45997
1786980419023	4540	0	46030
1786980419363	4540	0	46049
