epoch_ms	gpu_used_mib	gpu_util_pct	host_used_mib
1786980453625	1	0	44941
1786980453944	1	0	45093
1786980454262	1	0	45067
1786980454615	1	0	45064
1786980454933	1	0	45186
1786980455287	1	0	45037
1786980455586	2	0	45154
1786980455973	258	0	45255
1786980456286	258	0	45219
1786980456642	258	0	45228
1786980456959	258	0	45242
1786980457274	258	0	45293
1786980457612	258	0	45287
1786980457948	258	0	45138
1786980458266	258	0	45167
1786980458605	258	0	45208
1786980458942	258	0	45287
1786980459289	258	0	45433
1786980459628	4316	9	45521
1786980459983	4316	38	45518
1786980460369	4316	37	45493
1786980460710	4336	13	45569
1786980461069	4384	0	45762
1786980461425	4424	7	46027
1786980461740	4500	23	46105
1786980462086	4500	23	46037
1786980462445	4540	22	46131
1786980462783	4540	21	46193
1786980463156	4540	21	46207
1786980463515	4540	28	46206
1786980463852	4540	28	46180
1786980464208	4540	32	46185
1786980464525	4540	31	46211
1786980464878	4540	31	46108
1786980465203	4540	28	45896
1786980465521	4540	31	45882
1786980465838	4540	29	45888
1786980466176	4540	30	45980
1786980466525	4540	26	46003
1786980466861	4540	29	45914
1786980467181	4540	32	45924
1786980467539	4540	32	45974
1786980467874	4540	2	45942
1786980468192	4540	0	45889
